model,test_accuracy,precision,recall,f1_score,auc_score
LSTM,0.8624031007751938,0.9188311688311688,0.8601823708206687,0.8885400313971744,0.9198673666758772
MLP,0.8546511627906976,0.8895705521472392,0.8814589665653495,0.8854961832061068,0.9151211741950164
Random Forest,0.6821705426356589,0.7154046997389034,0.8328267477203647,0.7696629213483146,
XGBoost,0.6802325581395349,0.716931216931217,0.8237082066869301,0.7666195190947667,
Gradient Boosting,0.6782945736434108,0.7032418952618454,0.8571428571428571,0.7726027397260274,
SVM,0.6705426356589147,0.7676767676767676,0.6930091185410334,0.7284345047923323,
Logistic Regression,0.6627906976744186,0.7574750830564784,0.6930091185410334,0.7238095238095238,
LightGBM,0.6589147286821705,0.7029177718832891,0.8054711246200608,0.7507082152974505,
Decision Tree,0.6356589147286822,0.7342192691029901,0.6717325227963525,0.7015873015873015,
